baseline_name,run_id,seed,precision,recall,detection_rate,f1_score,false_positive_rate,accuracy,tp,fp,fn,tn,avg_detection_latency,avg_evasion_duration,false_quarantine_rate
hmm_baseline,6,2048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,7,2049,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
hmm_baseline,8,2050,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
hmm_baseline,9,2051,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,10,2052,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,11,2053,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,12,2054,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
hmm_baseline,13,2055,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,14,2056,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_baseline,15,2057,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,16,2058,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,2.0,2.0,0.0
hmm_baseline,17,2059,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
hmm_baseline,18,2060,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,4.0,4.0,0.0
hmm_baseline,19,2061,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
isolation_forest,0,2042,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
isolation_forest,1,2043,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,0.0,0.0,0.5
isolation_forest,2,2044,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,1.0,1.0,0.5
isolation_forest,3,2045,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
isolation_forest,4,2046,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
isolation_forest,5,2047,0.5,1.0,1.0,0.6667,0.5,0.6667,1,1,0,1,1.0,1.0,0.5
isolation_forest,6,2048,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
isolation_forest,7,2049,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,1.0,1.0,0.0
isolation_forest,8,2050,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,2,0.0,0.0,0.0
