delta_inact,theta_R,detection_rate,detection_rate_std,latency,latency_std,false_positives,false_positives_std,fpr,precision,recall,f1,availability_loss,evasion_duration
3,0.5,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.325,1.0
3,0.65,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.325,1.0
3,0.8,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.29,1.0
5,0.5,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.275,1.0
5,0.65,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.275,1.0
5,0.8,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.2599999999999998,1.0
7,0.5,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.1800000000000002,1.0
7,0.65,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.195,1.0
7,0.8,1.0,0.0,1.4,0.8,2.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.1775,1.4
