Epoch,AttackerStrategy,DeviceID,HMM_State,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,DetectionTime
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.7403,1.0,0.9689,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6718,1.0,0.9668,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6416,1.0,0.9658,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4039,1.0,0.9571,True,Inactivity timer expired,True,5,-1
10,STEALTH,rogue_laptop,Idle,0.1432,0.8568,0.98,0.1463,0.1443,False,trust-compliant,False,,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,0.9184,1.0,0.8927,True,Behavioral anomaly detected (Risk: 0.89 >= 0.65),True,11,1
1,STEALTH,user_0_phone,Idle,0.1412,0.8588,0.98,0.0162,0.0912,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0949,0.9051,0.98,0.0257,0.0672,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8387,1.0,0.9718,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.7423,1.0,0.969,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6881,1.0,0.9673,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5959,1.0,0.9643,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6355,1.0,0.9656,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5057,1.0,0.961,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.5989,1.0,0.9644,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4501,1.0,0.9589,True,Inactivity timer expired,True,5,-1
10,STEALTH,rogue_laptop,Normal,0.0643,0.9357,1.0,0.1156,0.0822,False,trust-compliant,False,,-1
11,STEALTH,rogue_laptop,Normal,0.0,1.0,1.0,1.0,0.9002,True,Behavioral anomaly detected (Risk: 0.90 >= 0.65),True,11,1
1,STEALTH,user_0_phone,Normal,0.063,0.937,1.0,0.0183,0.0451,False,trust-compliant,False,,-1
1,STEALTH,user_0_laptop_1,Idle,0.0592,0.9408,0.98,0.0548,0.0574,False,trust-compliant,False,,-1
2,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.8526,1.0,0.9721,False,trust-compliant,False,,-1
2,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.678,1.0,0.967,False,trust-compliant,False,,-1
3,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.75,1.0,0.9692,False,trust-compliant,False,,-1
3,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.5418,1.0,0.9624,False,trust-compliant,False,,-1
4,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6786,1.0,0.967,False,trust-compliant,False,,-1
4,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4751,1.0,0.9599,False,trust-compliant,False,,-1
5,STEALTH,user_0_phone,High-Risk,1.0,0.0,0.6463,1.0,0.966,True,Inactivity timer expired,True,5,-1
5,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.4351,1.0,0.9583,False,trust-compliant,False,,-1
6,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3511,1.0,0.9548,False,trust-compliant,False,,-1
7,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3607,1.0,0.9552,False,trust-compliant,False,,-1
8,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3064,1.0,0.9529,False,trust-compliant,False,,-1
9,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3188,1.0,0.9534,False,trust-compliant,False,,-1
10,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.2813,0.2256,0.8073,False,trust-compliant,False,,-1
10,STEALTH,rogue_laptop,Normal,0.1092,0.8908,1.0,0.0541,0.0899,False,trust-compliant,False,,-1
11,STEALTH,user_0_laptop_1,High-Risk,1.0,0.0,0.3188,0.8775,0.9412,True,Behavioral anomaly detected (Risk: 0.94 >= 0.65),True,11,-1
