Framework,Detection Rate (%),FPR (%),Detection Latency (ep),Evasion Duration (ep),F1-Score
Original QTK (Baseline),0.00 ± 0.00,0.00 ± 0.00,N/A (Evaded),20.00 ± 0.00,0.0000 ± 0.0000
Dual-Trigger QTK (Ours),100.00 ± 0.00,0.00 ± 0.00,2.95 ± 0.74,2.95 ± 0.74,1.0000 ± 0.0000
