Epoch,DeviceID,AnomalyScore,BehavioralTrust,TrustScore,GraphRisk,FinalRisk,Triggered,TriggerReason,Quarantined,DetectionEpoch,Configuration
18,rogue_client_0,0.0,1.0,0.9995,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
19,user_0_phone,0.0,1.0,0.9497,0.0445,0.0,False,Device is trust-compliant.,False,,hmm_only
19,user_0_laptop_1,0.0,1.0,0.999,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
19,rogue_client_0,0.0,1.0,0.9997,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
20,user_0_phone,0.0,1.0,0.965,0.0366,0.0,False,Device is trust-compliant.,False,,hmm_only
20,user_0_laptop_1,0.0,1.0,0.9994,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
20,rogue_client_0,0.0,1.0,0.9998,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
21,user_0_phone,0.0,1.0,0.9762,0.0239,0.0,False,Device is trust-compliant.,False,,hmm_only
21,user_0_laptop_1,0.0,1.0,0.9842,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
21,rogue_client_0,0.0,1.0,0.9999,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
22,user_0_phone,0.0,1.0,0.9838,0.0204,0.0,False,Device is trust-compliant.,False,,hmm_only
22,user_0_laptop_1,0.0,1.0,0.9903,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
22,rogue_client_0,0.0,1.0,0.9999,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
23,user_0_phone,0.0,1.0,0.989,0.0216,0.0,False,Device is trust-compliant.,False,,hmm_only
23,user_0_laptop_1,0.0,1.0,0.9792,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
23,rogue_client_0,0.0,1.0,0.9999,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
24,user_0_phone,0.0,1.0,0.9755,0.0206,0.0,False,Device is trust-compliant.,False,,hmm_only
24,user_0_laptop_1,0.0,1.0,0.9725,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
24,rogue_client_0,0.0,1.0,0.9999,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
25,user_0_phone,0.0,1.0,0.9833,0.0193,0.0,False,Device is trust-compliant.,False,,hmm_only
25,user_0_laptop_1,0.0,1.0,0.9685,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
25,rogue_client_0,0.0,1.0,0.9869,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
26,user_0_phone,0.0,1.0,0.9716,0.0188,0.0,False,Device is trust-compliant.,False,,hmm_only
26,user_0_laptop_1,0.0,1.0,0.9661,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
26,rogue_client_0,0.0,1.0,0.9802,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
27,user_0_phone,0.0,1.0,0.9637,0.0195,0.0,False,Device is trust-compliant.,False,,hmm_only
27,user_0_laptop_1,0.0,1.0,0.9647,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
27,rogue_client_0,0.0,1.0,0.9897,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
28,user_0_phone,0.0,1.0,0.9583,0.019,0.0,False,Device is trust-compliant.,False,,hmm_only
28,user_0_laptop_1,0.0,1.0,0.9788,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
28,rogue_client_0,0.0,1.0,0.9946,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
29,user_0_phone,0.0,1.0,0.9546,0.0184,0.0,False,Device is trust-compliant.,False,,hmm_only
29,user_0_laptop_1,0.0,1.0,0.9723,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
29,rogue_client_0,0.0,1.0,0.9387,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
30,user_0_phone,0.0,1.0,0.9521,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
30,user_0_laptop_1,0.0,1.0,0.9684,0.0181,0.0,False,Device is trust-compliant.,False,,hmm_only
30,rogue_client_0,0.0,1.0,0.9681,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
31,user_0_phone,0.0,1.0,0.9674,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
31,user_0_laptop_1,0.0,1.0,0.966,0.0196,0.0,False,Device is trust-compliant.,False,,hmm_only
31,rogue_client_0,0.0,1.0,0.9834,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
32,user_0_phone,0.0,1.0,0.9608,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
32,user_0_laptop_1,0.0,1.0,0.9796,0.0189,0.0,False,Device is trust-compliant.,False,,hmm_only
32,rogue_client_0,0.0,1.0,0.9914,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
33,user_0_phone,0.0,1.0,0.9733,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
33,user_0_laptop_1,0.0,1.0,0.9874,0.0232,0.0,False,Device is trust-compliant.,False,,hmm_only
33,rogue_client_0,0.0,1.0,0.9955,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
34,user_0_phone,0.0,1.0,0.9818,0.0202,0.0,False,Device is trust-compliant.,False,,hmm_only
34,user_0_laptop_1,0.0,1.0,0.9922,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
34,rogue_client_0,0.0,1.0,0.9977,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
35,user_0_phone,0.0,1.0,0.9873,0.0213,0.0,False,Device is trust-compliant.,False,,hmm_only
35,user_0_laptop_1,0.0,1.0,0.9952,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
35,rogue_client_0,0.0,1.0,0.9988,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
36,user_0_phone,0.0,1.0,0.9912,0.027,0.0,False,Device is trust-compliant.,False,,hmm_only
36,user_0_laptop_1,0.0,1.0,0.9816,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
36,rogue_client_0,0.0,1.0,0.9864,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
37,user_0_phone,0.0,1.0,0.994,0.024,0.0,False,Device is trust-compliant.,False,,hmm_only
37,user_0_laptop_1,0.0,1.0,0.9887,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
37,rogue_client_0,0.0,1.0,0.9799,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
38,user_0_phone,0.0,1.0,0.9959,0.0245,0.0,False,Device is trust-compliant.,False,,hmm_only
38,user_0_laptop_1,0.0,1.0,0.993,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
38,rogue_client_0,0.0,1.0,0.9765,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
39,user_0_phone,0.0,1.0,0.9972,0.0282,0.0,False,Device is trust-compliant.,False,,hmm_only
39,user_0_laptop_1,0.0,1.0,0.9957,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
39,rogue_client_0,0.0,1.0,0.9878,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
40,user_0_phone,0.0,1.0,0.9981,0.0241,0.0,False,Device is trust-compliant.,False,,hmm_only
40,user_0_laptop_1,0.0,1.0,0.9974,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
40,rogue_client_0,0.0,1.0,0.9937,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
1,user_0_phone,0.0464,0.9536,1.0,0.1688,0.0954,False,Device is trust-compliant.,False,,hmm_only
1,user_0_laptop_1,0.1269,0.8731,0.98,0.0275,0.0871,False,Device is trust-compliant.,False,,hmm_only
1,silent_forgotten_tablet,0.0405,0.9595,0.995,0.0394,0.0401,False,Device is trust-compliant.,False,,hmm_only
2,user_0_phone,0.0,1.0,1.0,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
2,user_0_laptop_1,0.0,1.0,0.9723,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
2,silent_forgotten_tablet,0.0477,0.9523,0.9902,0.0394,0.0444,False,Device is trust-compliant.,False,,hmm_only
3,user_0_phone,0.0,1.0,0.932,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
3,user_0_laptop_1,0.0,1.0,0.9675,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
3,silent_forgotten_tablet,0.0263,0.9737,0.9857,0.0346,0.0296,False,Device is trust-compliant.,False,,hmm_only
4,user_0_phone,0.0,1.0,0.9538,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
4,user_0_laptop_1,0.0,1.0,0.9646,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
4,silent_forgotten_tablet,0.045,0.955,0.9815,0.0217,0.0357,False,Device is trust-compliant.,False,,hmm_only
5,user_0_phone,0.0,1.0,0.9686,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
5,user_0_laptop_1,0.0,1.0,0.9628,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
5,silent_forgotten_tablet,0.0489,0.9511,0.9774,0.0408,0.0456,True,Inactivity timer expired (Epoch Gap: 5 >= 5),True,5,hmm_only
6,user_0_phone,0.0,1.0,0.9106,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
6,user_0_laptop_1,0.0,1.0,0.9617,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
7,user_0_phone,0.0,1.0,0.9392,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
7,user_0_laptop_1,0.0,1.0,0.9764,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
8,user_0_phone,0.0,1.0,0.8907,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
8,user_0_laptop_1,0.0,1.0,0.9855,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
9,user_0_phone,0.0,1.0,0.9257,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
9,user_0_laptop_1,0.0,1.0,0.9913,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
10,user_0_phone,0.0,1.0,0.8815,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
10,user_0_laptop_1,0.0,1.0,0.9948,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
10,rogue_client_0,0.18,0.82,0.98,0.1091,0.1551,False,Device is trust-compliant.,False,,hmm_only
11,user_0_phone,0.0,1.0,0.8514,0.9966,0.0,False,Device is trust-compliant.,False,,hmm_only
11,user_0_laptop_1,0.0,1.0,0.9819,0.0495,0.0,False,Device is trust-compliant.,False,,hmm_only
11,rogue_client_0,0.0,1.0,0.9766,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
12,user_0_phone,0.0,1.0,0.831,0.9889,0.0,False,Device is trust-compliant.,False,,hmm_only
12,user_0_laptop_1,0.0,1.0,0.9891,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
12,rogue_client_0,0.0,1.0,0.9878,0.0369,0.0,False,Device is trust-compliant.,False,,hmm_only
13,user_0_phone,0.0,1.0,0.8851,0.9972,0.0,False,Device is trust-compliant.,False,,hmm_only
13,user_0_laptop_1,0.0,1.0,0.9933,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
13,rogue_client_0,0.0,1.0,0.9937,0.1621,0.0,False,Device is trust-compliant.,False,,hmm_only
14,user_0_phone,0.0,1.0,0.9219,0.998,0.0,False,Device is trust-compliant.,False,,hmm_only
14,user_0_laptop_1,0.0,1.0,0.9343,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
14,rogue_client_0,0.0,1.0,0.9967,0.3831,0.0,False,Device is trust-compliant.,False,,hmm_only
15,user_0_phone,0.0,1.0,0.9469,0.9983,0.0,False,Device is trust-compliant.,False,,hmm_only
15,user_0_laptop_1,0.0,1.0,0.9441,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
15,rogue_client_0,0.0,1.0,0.9398,0.5129,0.0,False,Device is trust-compliant.,False,,hmm_only
16,user_0_phone,0.0,1.0,0.8959,0.9987,0.0,False,Device is trust-compliant.,False,,hmm_only
16,user_0_laptop_1,0.0,1.0,0.9656,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
16,rogue_client_0,0.0,1.0,0.9687,0.6498,0.0,False,Device is trust-compliant.,False,,hmm_only
17,user_0_phone,0.0,1.0,0.9292,0.9995,0.0,False,Device is trust-compliant.,False,,hmm_only
17,user_0_laptop_1,0.0,1.0,0.9794,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
17,rogue_client_0,0.0,1.0,0.9837,0.863,0.0,False,Device is trust-compliant.,False,,hmm_only
18,user_0_phone,0.0,1.0,0.9519,0.9999,0.0,False,Device is trust-compliant.,False,,hmm_only
18,user_0_laptop_1,0.0,1.0,0.9719,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
18,rogue_client_0,0.0,1.0,0.9915,0.9422,0.0,False,Device is trust-compliant.,False,,hmm_only
19,user_0_phone,0.0,1.0,0.8993,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
19,user_0_laptop_1,0.0,1.0,0.9827,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
19,rogue_client_0,0.0,1.0,0.9371,0.9745,0.0,False,Device is trust-compliant.,False,,hmm_only
20,user_0_phone,0.0,1.0,0.8635,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
20,user_0_laptop_1,0.0,1.0,0.9896,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
20,rogue_client_0,0.0,1.0,0.9543,0.9938,0.0,False,Device is trust-compliant.,False,,hmm_only
21,user_0_phone,0.0,1.0,0.9072,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
21,user_0_laptop_1,0.0,1.0,0.9936,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
21,rogue_client_0,0.0,1.0,0.9632,0.9901,0.0,False,Device is trust-compliant.,False,,hmm_only
22,user_0_phone,0.0,1.0,0.9369,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
22,user_0_laptop_1,0.0,1.0,0.9961,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
22,rogue_client_0,0.0,1.0,0.9809,0.9859,0.0,False,Device is trust-compliant.,False,,hmm_only
23,user_0_phone,0.0,1.0,0.8891,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
23,user_0_laptop_1,0.0,1.0,0.9976,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
23,rogue_client_0,0.0,1.0,0.9901,0.9807,0.0,False,Device is trust-compliant.,False,,hmm_only
24,user_0_phone,0.0,1.0,0.8566,1.0,0.0,False,Device is trust-compliant.,False,,hmm_only
24,user_0_laptop_1,0.0,1.0,0.9831,0.018,0.0,False,Device is trust-compliant.,False,,hmm_only
24,rogue_client_0,0.0,1.0,0.9949,0.9661,0.0,False,Device is trust-compliant.,False,,hmm_only
